Beginning
Cutoff,Parallel,Jamboree
1,838723219,91768365
2,540046050,68950635
3,530524440,144270573
4,914629346,208706947

Middle
Cutoff,Parallel,Jamboree
1,6529797371,242662421
2,4275945448,230106037
3,4181925908,275288666
4,5355365255,362859186

End
Cutoff,Parallel,Jamboree
1,1013835519,91247232
2,622465357,60560612
3,607472249,94980316
4,1255596409,530480523

